preusuel,dpt,decade,nombre,total_births,rate_per_10k
ALAIN,65,1940,534,27549,193.84
ALAIN,65,1950,880,31928,275.62
ALAIN,65,1960,598,32319,185.03
ALAIN,65,1970,119,24500,48.57
ALAIN,65,1980,10,20198,4.95
ALAIN,66,1930,40,23926,16.72
ALAIN,66,1940,482,29028,166.05
ALAIN,66,1950,697,30512,228.43
ALAIN,66,1960,674,35415,190.31
ALAIN,66,1970,172,30552,56.3
ALAIN,66,1980,61,32624,18.7
ALAIN,66,1990,23,31662,7.26
ALAIN,66,2000,3,33304,0.9
ALAIN,67,1920,3,104118,0.29
ALAIN,67,1930,95,103205,9.2
ALAIN,67,1940,387,98381,39.34
ALAIN,67,1950,1633,138497,117.91
ALAIN,67,1960,2294,146146,156.97
ALAIN,67,1970,737,118481,62.2
ALAIN,67,1980,229,114734,19.96
ALAIN,67,1990,72,113173,6.36
ALAIN,67,2000,12,108430,1.11
ALAIN,67,2010,7,96185,0.73
ALAIN,68,1920,3,71326,0.42
ALAIN,68,1930,54,70296,7.68
ALAIN,68,1940,329,66270,49.65
ALAIN,68,1950,1124,94375,119.1
ALAIN,68,1960,1410,95017,148.39
ALAIN,68,1970,491,81988,59.89
ALAIN,68,1980,149,81467,18.29
ALAIN,68,1990,41,75153,5.46
ALAIN,68,2000,6,68401,0.88
ALAIN,69,1910,3,73396,0.41
ALAIN,69,1920,75,119256,6.29
ALAIN,69,1930,410,117224,34.98
ALAIN,69,1940,3849,153060,251.47
ALAIN,69,1950,4486,178128,251.84
ALAIN,69,1960,2754,217925,126.37
ALAIN,69,1970,594,217346,27.33
ALAIN,69,1980,181,222370,8.14
ALAIN,69,1990,51,219117,2.33
ALAIN,69,2000,16,224145,0.71
ALAIN,69,2010,9,228220,0.39
ALAIN,70,1930,62,29915,20.73
ALAIN,70,1940,603,34845,173.05
ALAIN,70,1950,959,39747,241.28
ALAIN,70,1960,547,32733,167.11
ALAIN,70,1970,102,22325,45.69
ALAIN,70,1980,20,15770,12.68
ALAIN,71,1920,9,79291,1.14
ALAIN,71,1930,92,69216,13.29
ALAIN,71,1940,1194,77171,154.72
ALAIN,71,1950,2467,88584,278.49
ALAIN,71,1960,1301,85897,151.46
ALAIN,71,1970,213,71677,29.72
ALAIN,71,1980,29,58365,4.97
ALAIN,72,1920,19,63068,3.01
ALAIN,72,1930,157,63657,24.66
ALAIN,72,1940,1494,75668,197.44
ALAIN,72,1950,2951,91015,324.23
ALAIN,72,1960,1140,87077,130.92
ALAIN,72,1970,140,74497,18.79
ALAIN,72,1980,4,64474,0.62
ALAIN,73,1910,3,23096,1.3
ALAIN,73,1920,3,32907,0.91
ALAIN,73,1930,65,31065,20.92
ALAIN,73,1940,599,38758,154.55
ALAIN,73,1950,974,44883,217.01
ALAIN,73,1960,653,43801,149.08
ALAIN,73,1970,157,39064,40.19
ALAIN,73,1980,33,36924,8.94
ALAIN,73,1990,6,35242,1.7
ALAIN,74,1920,4,35285,1.13
ALAIN,74,1930,64,34509,18.55
ALAIN,74,1940,714,47056,151.73
ALAIN,74,1950,1090,53947,202.05
ALAIN,74,1960,1034,64430,160.48
ALAIN,74,1970,264,63948,41.28
ALAIN,74,1980,58,68462,8.47
ALAIN,74,1990,20,74040,2.7
ALAIN,75,1900,51,406142,1.26
ALAIN,75,1910,130,400417,3.25
ALAIN,75,1920,721,586855,12.29
ALAIN,75,1930,3073,565818,54.31
ALAIN,75,1940,21548,641552,335.87
ALAIN,75,1950,23466,871748,269.18
ALAIN,75,1960,10269,842991,121.82
ALAIN,75,1970,936,358646,26.1
